"","gdp"
"1",90.2492413437557
"2",112.873268746663
"3",143.630047867915
"4",184.06241416557
"5",232.791402544752
"6",285.670092736241
"7",341.570102498423
"8",398.940786952002
"9",458.541145791209
"10",522.140934978835
"11",589.538404172632
"12",659.320117364898
"13",730.604292428392
"14",804.713558044889
"15",880.806292469967
"16",958.791558696905
"17",1038.39331577464
"18",1118.39154659634
"19",1205.77930930972
"20",1300.08727984963
"21",1401.57098919208
"22",1510.47955089426
"23",1627.05382314708
"24",1751.52469634618
"25",1884.11154910854
"26",2025.02087027848
"27",2174.44504420515
"28",2332.56129604973
"29",2499.53079320683
"30",2675.49789818612
"31",2860.5895675594
"32",3054.91489088018
"33",3258.56476285761
"34",3471.61168153378
"35",3694.1096647839
"36",3926.09427713581
"37",4167.58275868833
"38",4418.57424779193
"39",4679.05008913325
"40",4948.97421892755
"41",5228.29361906139
"42",5516.9388322311
"43",5814.82453038051
"44",6121.85012904515
"45",6437.90044054975
"46",6762.84635937309
"47",7096.54557338183
"48",7438.84329503529
"49",7789.57300707081
"50",8148.5572175888
"51",8515.60821986324
"52",8890.52885260354
"53",9273.11325678461
"54",9663.14762553985
"55",10060.4109439763
"56",10464.6757161192
"57",10875.7086765241
"58",11293.2714844089
"59",11293.2714844089
"60",11293.2714844089
"61",11293.2714844089
"62",11293.2714844089
"63",11293.2714844089
"64",11293.2714844089
"65",11293.2714844089
"66",11293.2714844089
"67",11293.2714844089
"68",11293.2714844089
"69",11293.2714844089
"70",11293.2714844089
"71",11293.2714844089
"72",11293.2714844089
"73",11293.2714844089
"74",11293.2714844089
"75",11293.2714844089
"76",11293.2714844089
"77",11293.2714844089
"78",11293.2714844089
"79",11293.2714844089
"80",11293.2714844089
"81",11293.2714844089
"82",11293.2714844089
"83",11293.2714844089
"84",11293.2714844089
"85",11293.2714844089
"86",11293.2714844089
"87",11293.2714844089
"88",11293.2714844089
"89",11293.2714844089
"90",11293.2714844089
"91",11293.2714844089
"92",11293.2714844089
"93",11293.2714844089
"94",11293.2714844089
"95",11293.2714844089
"96",11293.2714844089
"97",11293.2714844089
"98",11293.2714844089
"99",11293.2714844089
"100",11293.2714844089
