"","gdp"
"1",89.9388987242869
"2",110.732343279142
"3",133.186731721613
"4",156.624496201751
"5",179.707484807414
"6",202.176495308649
"7",223.4039430088
"8",242.70261202681
"9",260.710635163055
"10",278.544292583905
"11",295.802786020685
"12",311.824702772925
"13",326.280307447842
"14",340.024614079082
"15",352.868745890451
"16",365.300237818477
"17",377.542080380508
"18",389.213931903273
"19",401.340930475162
"20",413.501793493349
"21",425.68357057468
"22",437.874051428898
"23",450.061453089859
"24",462.234165279206
"25",474.380555297524
"26",486.488828496605
"27",498.546939316606
"28",510.542547102227
"29",522.463010456685
"30",534.295413728833
"31",546.026619315426
"32",557.643339747939
"33",569.13222397097
"34",580.479952760135
"35",591.673338829961
"36",602.699427811828
"37",613.545596910415
"38",624.199648652964
"39",634.649897713157
"40",644.885249310101
"41",654.895268146369
"42",664.670237254422
"43",674.201206467766
"44",683.480030523779
"45",692.499397042421
"46",701.252844813326
"47",709.734772967843
"48",717.94044171748
"49",725.865965411111
"50",733.508298705056
"51",740.865216657604
"52",747.93528955687
"53",754.717853272196
"54",761.212975888003
"55",767.421421338219
"56",773.344610711852
"57",778.984581848207
"58",784.343947785537
"59",784.343947785537
"60",784.343947785537
"61",784.343947785537
"62",784.343947785537
"63",784.343947785537
"64",784.343947785537
"65",784.343947785537
"66",784.343947785537
"67",784.343947785537
"68",784.343947785537
"69",784.343947785537
"70",784.343947785537
"71",784.343947785537
"72",784.343947785537
"73",784.343947785537
"74",784.343947785537
"75",784.343947785537
"76",784.343947785537
"77",784.343947785537
"78",784.343947785537
"79",784.343947785537
"80",784.343947785537
"81",784.343947785537
"82",784.343947785537
"83",784.343947785537
"84",784.343947785537
"85",784.343947785537
"86",784.343947785537
"87",784.343947785537
"88",784.343947785537
"89",784.343947785537
"90",784.343947785537
"91",784.343947785537
"92",784.343947785537
"93",784.343947785537
"94",784.343947785537
"95",784.343947785537
"96",784.343947785537
"97",784.343947785537
"98",784.343947785537
"99",784.343947785537
"100",784.343947785537
