"","gdp"
"1",89.9985376016182
"2",111.539127048158
"3",137.630921028113
"4",168.711462532798
"5",203.791066224333
"6",240.663263984869
"7",278.075651479338
"8",314.486153750594
"9",350.186604232561
"10",386.231381394359
"11",422.181590487269
"12",456.748631948459
"13",489.063256529919
"14",520.110145869149
"15",549.189990801769
"16",576.226271967727
"17",600.975029026056
"18",622.486866702482
"19",645.434816348702
"20",669.222273457784
"21",693.719367565549
"22",718.801982122714
"23",744.351678210614
"24",770.255726283138
"25",796.407240160408
"26",822.705356846924
"27",849.055421191684
"28",875.369146767868
"29",901.564734166406
"30",927.566935597549
"31",953.307060627095
"32",978.722922334162
"33",1003.75872641954
"34",1028.36490803874
"35",1052.4979225745
"36",1076.11999736652
"37",1099.19885172573
"38",1121.70739249797
"39",1143.62339210996
"40",1164.92915551369
"41",1185.61118181089
"42",1205.65982564233
"43",1225.06896270769
"44",1243.83566307321
"45",1261.95987524731
"46",1279.44412337565
"47",1296.29321933473
"48",1312.51399099338
"49",1328.11502746527
"50",1343.10644179157
"51",1357.49965116933
"52",1371.30717457268
"53",1384.54244739629
"54",1397.21965257925
"55",1409.35356753511
"56",1420.95942611804
"57",1432.05279478778
"58",1442.64946209554
"59",1442.64946209554
"60",1442.64946209554
"61",1442.64946209554
"62",1442.64946209554
"63",1442.64946209554
"64",1442.64946209554
"65",1442.64946209554
"66",1442.64946209554
"67",1442.64946209554
"68",1442.64946209554
"69",1442.64946209554
"70",1442.64946209554
"71",1442.64946209554
"72",1442.64946209554
"73",1442.64946209554
"74",1442.64946209554
"75",1442.64946209554
"76",1442.64946209554
"77",1442.64946209554
"78",1442.64946209554
"79",1442.64946209554
"80",1442.64946209554
"81",1442.64946209554
"82",1442.64946209554
"83",1442.64946209554
"84",1442.64946209554
"85",1442.64946209554
"86",1442.64946209554
"87",1442.64946209554
"88",1442.64946209554
"89",1442.64946209554
"90",1442.64946209554
"91",1442.64946209554
"92",1442.64946209554
"93",1442.64946209554
"94",1442.64946209554
"95",1442.64946209554
"96",1442.64946209554
"97",1442.64946209554
"98",1442.64946209554
"99",1442.64946209554
"100",1442.64946209554
