"","gdp"
"1",90.1393775353812
"2",111.314160547221
"3",134.064436596841
"4",157.291128004594
"5",180.419108152062
"6",204.412225127857
"7",229.172442451408
"8",254.245219056775
"9",280.277954425992
"10",308.35503933955
"11",338.488895678712
"12",370.267753960025
"13",403.346991875411
"14",438.087173678415
"15",474.264168100315
"16",512.144730727692
"17",551.748881857012
"18",592.733127842681
"19",637.637696378405
"20",686.065177725059
"21",738.100126344597
"22",793.811035556211
"23",853.248855910595
"24",916.445810939835
"25",983.414552805642
"26",1054.14765352671
"27",1128.61742038951
"28",1206.77601784536
"29",1288.55587287728
"30",1373.87033660259
"31",1462.61457180563
"32",1554.66663415066
"33",1649.88871393872
"34",1748.12850534148
"35",1849.22067093921
"36",1952.98837096967
"37",2059.24482881372
"38",2167.79490676129
"39",2278.43666888467
"40",2390.96291077739
"41",2505.16263889134
"42",2620.82248513618
"43",2737.72804522308
"44",2855.6651318859
"45",2974.42093655739
"46",3093.78509529053
"47",3213.55065668174
"48",3333.51495126813
"49",3453.48036333898
"50",3573.25500733191
"51",3692.65331198955
"52",3811.49651625166
"53",3929.61308146791
"54",4046.83902496
"55",4163.01818025661
"56",4278.00238949316
"57",4391.65163352699
"58",4503.83410528803
"59",4503.83410528803
"60",4503.83410528803
"61",4503.83410528803
"62",4503.83410528803
"63",4503.83410528803
"64",4503.83410528803
"65",4503.83410528803
"66",4503.83410528803
"67",4503.83410528803
"68",4503.83410528803
"69",4503.83410528803
"70",4503.83410528803
"71",4503.83410528803
"72",4503.83410528803
"73",4503.83410528803
"74",4503.83410528803
"75",4503.83410528803
"76",4503.83410528803
"77",4503.83410528803
"78",4503.83410528803
"79",4503.83410528803
"80",4503.83410528803
"81",4503.83410528803
"82",4503.83410528803
"83",4503.83410528803
"84",4503.83410528803
"85",4503.83410528803
"86",4503.83410528803
"87",4503.83410528803
"88",4503.83410528803
"89",4503.83410528803
"90",4503.83410528803
"91",4503.83410528803
"92",4503.83410528803
"93",4503.83410528803
"94",4503.83410528803
"95",4503.83410528803
"96",4503.83410528803
"97",4503.83410528803
"98",4503.83410528803
"99",4503.83410528803
"100",4503.83410528803
